SALE YR,SALE NO,SALE DATE,SALE ITEM NO,SALE TYPE,SALE PRICE,DESCRIPTION LINE 1,DESCRIPTION LINE 2
2013,001,04/17/2013,001,Auction,25.00,LOT OF 2  SONY DIGITAL CAMERA'S W/CHARGERS,LOT OF 2  SONY DIGITAL CAMERA'S W/CHARGERS SONY MVC-FD97   
2013,001,04/17/2013,001,Auction,25.00,LOT OF 2  SONY DIGITAL CAMERA'S W/CHARGERS,2001 SONY DIGITAL CAMERA SONY MVC-FD97   
2013,001,04/17/2013,001,Auction,25.00,LOT OF 2  SONY DIGITAL CAMERA'S W/CHARGERS,2001 QUICK CHARGER SONY AC-VQ850   
2013,001,04/17/2013,001,Auction,25.00,LOT OF 2  SONY DIGITAL CAMERA'S W/CHARGERS,2001 QUICK CHARGER NEWB SONY AC-VQ850   
2013,001,04/17/2013,002,Auction,50.00,LOT OF 6 ASSORTED CAMERA EQUIPMENT,UNKNOWN TIME LAPSE VIDEO CASSETTE RECORDER UNKNOWN Qty: 1 good condition  
2013,001,04/17/2013,002,Auction,50.00,LOT OF 6 ASSORTED CAMERA EQUIPMENT,2001 VCR RT TIME LAPSE      
2013,001,04/17/2013,002,Auction,50.00,LOT OF 6 ASSORTED CAMERA EQUIPMENT,2001 SONY DIGITAL CAMERA      
2013,001,04/17/2013,002,Auction,50.00,LOT OF 6 ASSORTED CAMERA EQUIPMENT,2001 SONY COLOR VIDEO CAMERA DC134    
2013,001,04/17/2013,002,Auction,50.00,LOT OF 6 ASSORTED CAMERA EQUIPMENT,LOT OF 6 ASSORTED CAMERA EQUIPMENT  2001 SONY COLOR VIDEO CAMERA DC134   
2013,001,04/17/2013,002,Auction,50.00,LOT OF 6 ASSORTED CAMERA EQUIPMENT,1999 CAMERA MINOLTA W/2 LENSES  worn   
2013,001,04/17/2013,003,Auction,310.00,LOT OF 3  CUT-OFF SAWS; 1 CHAINSAW,"2001 STIHL 044 20"" CHAINSAW saw has a bad piston & jug cyl non-op    "
2013,001,04/17/2013,003,Auction,310.00,LOT OF 3  CUT-OFF SAWS; 1 CHAINSAW,"LOT OF 3  CUT-OFF SAWS; 1 CHAINSAW  2003 STIHL TS400 14"" CUT OFF SAW      1 cyl  scored cyl beyond repair parts & labor cost more then the price of a new saw to make the repairs  non op   "
2013,001,04/17/2013,003,Auction,310.00,LOT OF 3  CUT-OFF SAWS; 1 CHAINSAW,"1999 STIHL TS350 12"" CUT OFF SAW  1 cyl   saw will not start-may need pistion and rings  non op   "
2013,001,04/17/2013,003,Auction,310.00,LOT OF 3  CUT-OFF SAWS; 1 CHAINSAW,"2002 STIHL TS400 14"" CUT OFF SAW  1 cyl  3.9L   hours: approx. 0 starts hard, repairs excueed value of equipment  non op   "
2013,001,04/17/2013,004,Auction,150.00,LOT OF 2  PORTABLE GREASE GUNS,LOT OF 2  PORTABLE GREASE GUNS     
